"PLOT","presAbs","lon","lat"
80002,0,-112.494258,38.754235
80007,0,-110.206897,37.626433
80013,0,-110.821057,38.942112
80014,0,-109.07611,38.290767
80018,0,-112.132439,37.624147
80019,0,-109.604479,39.702503
80024,0,-110.772254,40.37342
80029,0,-109.619205,37.705612
80032,0,-112.71442,38.477984
80034,0,-110.82258,40.784914
80034,1,-110.82258,40.784914
80035,0,-110.462592,39.74773
80036,0,-109.290641,37.532928
80038,0,-109.978063,37.673721
80039,0,-111.347153,41.058021
80040,0,-113.154722,37.476999
80044,0,-111.062817,40.653884
80044,1,-111.062817,40.653884
80047,0,-109.668254,39.429373
80050,0,-111.16595,38.036016
80052,0,-112.26159,37.329973
80053,0,-111.847138,37.584858
80054,0,-111.885776,38.560615
80057,0,-110.533205,40.065591
80058,0,-112.488924,38.528636
80058,1,-112.488924,38.528636
80062,0,-111.435404,37.571604
80066,0,-109.406187,39.404831
80068,0,-113.478197,41.935375
80069,0,-111.665707,41.820787
80077,0,-110.627768,40.994978
80078,0,-112.595427,40.509958
80081,0,-112.420799,40.45987
80083,0,-113.882063,40.212112
80085,0,-110.591719,40.292179
80087,0,-111.574814,38.128095
80087,1,-111.574814,38.128095
80090,0,-109.334878,39.488988
80091,0,-111.782224,39.946009
80103,0,-111.607615,38.515617
80108,0,-109.921029,37.989345
80112,0,-111.558829,38.074255
80120,0,-111.595587,40.97043
80120,1,-111.595587,40.97043
80121,0,-109.455925,40.915068
80122,0,-112.357342,37.49467
80131,0,-112.026917,38.397822
80134,0,-110.591862,40.333784
80135,0,-111.112506,39.572731
80135,1,-111.112506,39.572731
80138,0,-109.81987,40.651464
80138,1,-109.81987,40.651464
80139,0,-111.575532,38.80077
80144,0,-114.015417,38.636995
80146,0,-113.547622,37.5155
80152,0,-111.171435,40.470239
80155,0,-111.90832,37.900273
80158,0,-113.768682,37.559462
80161,0,-111.576978,39.296512
80163,0,-110.512008,40.136479
80164,0,-111.412224,38.063565
80166,0,-113.025659,37.213557
80167,0,-109.166041,39.40263
80170,0,-111.287325,39.349241
80175,0,-111.349776,39.071464
80175,1,-111.349776,39.071464
80177,0,-114.029034,38.272953
80182,0,-111.796834,37.406832
80184,0,-113.790875,38.097646
80185,0,-109.867267,37.407584
80190,0,-113.177334,38.380383
80193,0,-110.996031,39.796711
80193,1,-110.996031,39.796711
80194,0,-110.305762,39.749647
80199,0,-111.744269,38.807039
80202,0,-110.581514,40.878312
80203,0,-112.25503,38.396537
80205,0,-110.40452,40.698126
80207,0,-111.059858,37.233143
80210,0,-110.938465,38.119963
80212,0,-111.704832,38.063532
80212,1,-111.704832,38.063532
80214,0,-111.110323,37.225877
80216,0,-110.821736,40.252108
80219,0,-111.843735,37.543929
80223,0,-111.563316,38.626848
80224,0,-110.114204,40.876622
80229,0,-110.228786,40.874841
80231,0,-110.827402,37.992601
80240,0,-112.398577,39.882727
80241,0,-110.641872,40.649424
80244,0,-112.374969,38.48279
80244,1,-112.374969,38.48279
80248,0,-109.405306,40.741811
80249,0,-110.398457,40.915046
80254,1,-111.413598,41.556276
80254,0,-111.413598,41.556276
80256,0,-112.394753,37.089264
80258,0,-112.153338,39.113427
80260,0,-111.914642,37.81433
80260,1,-111.914642,37.81433
80261,0,-109.699859,37.630788
80266,0,-111.453683,37.949667
80269,0,-109.706403,40.596793
80269,1,-109.706403,40.596793
80271,0,-113.870941,39.895971
80275,0,-109.980805,40.875774
80276,0,-109.065387,38.202867
80279,0,-111.348397,40.336836
80279,1,-111.348397,40.336836
80283,0,-111.538017,41.69194
80283,1,-111.538017,41.69194
80284,0,-109.078331,40.792293
80291,0,-113.95341,41.741571
80301,0,-109.434565,39.383786
80302,0,-111.176223,39.702819
80302,1,-111.176223,39.702819
80305,0,-111.18035,40.693384
80305,1,-111.18035,40.693384
80313,0,-109.523838,40.773674
80313,1,-109.523838,40.773674
80315,0,-109.094132,38.845297
80318,0,-111.643472,39.798671
80319,0,-110.195364,39.165904
80323,0,-113.637097,41.661582
80327,0,-113.205013,37.474074
80328,0,-110.349007,40.562899
80328,1,-110.349007,40.562899
80330,0,-110.583169,40.69981
80332,0,-110.99878,37.187322
80339,0,-112.603209,38.57259
80340,0,-111.791042,37.635886
80344,0,-109.430039,39.512091
80345,0,-109.52385,37.895311
80347,0,-111.466597,38.804074
80347,1,-111.466597,38.804074
